order_id,order_ts,customer_id,product_id,store_id,quantity,unit_price,updated_ts
O0100001,2026-09-01 15:06:01,C02181,P0027,ST019,5,265.97,2026-09-01 15:06:01
O0100002,2026-09-01 12:41:55,C01295,P0069,ST014,3,31.27,2026-09-01 12:41:55
O0100003,2026-09-01 12:13:45,C01761,P0120,ST016,4,278.54,2026-09-01 12:13:45
O0100004,2026-09-01 19:20:40,C02493,P0008,ST006,4,289.94,2026-09-01 19:20:40
O0100005,2026-09-01 14:39:48,C02190,P0085,ST016,4,445.19,2026-09-01 14:39:48
O0100006,2026-09-01 11:01:26,C04140,P0183,ST008,8,234.04,2026-09-01 11:01:26
O0100007,2026-09-01 17:25:25,C00451,P0056,ST017,8,72.67,2026-09-01 17:25:25
O0100008,2026-09-01 15:54:08,C01551,P0071,ST018,7,203.68,2026-09-01 15:54:08
O0100009,2026-09-01 11:51:05,C02417,P0117,ST003,6,312.71,2026-09-01 11:51:05
O0100010,2026-09-01 12:46:08,C03302,P0076,ST016,1,230.24,2026-09-01 12:46:08
O0100011,2026-09-01 10:39:37,C00943,P0041,ST015,4,482.29,2026-09-01 10:39:37
O0100012,2026-09-01 09:47:28,C03019,P0069,ST012,6,31.27,2026-09-01 09:47:28
O0100013,2026-09-01 15:50:19,C03654,P0141,ST008,8,376.63,2026-09-01 15:50:19
O0100014,2026-09-01 20:42:57,C02017,P0058,ST014,8,404.59,2026-09-01 20:42:57
O0100015,2026-09-01 14:18:26,C01967,P0049,ST012,8,109.48,2026-09-01 14:18:26
O0100016,2026-09-01 18:00:16,C00640,P0062,ST020,6,432.73,2026-09-01 18:00:16
O0100017,2026-09-01 12:56:23,C04312,P0091,ST019,1,319.65,2026-09-01 12:56:23
O0100018,2026-09-01 15:52:59,C03815,P0107,ST017,1,113.79,2026-09-01 15:52:59
O0100019,2026-09-01 08:46:16,C00253,P0166,ST006,1,420.1,2026-09-01 08:46:16
O0100020,2026-09-01 08:26:38,C03225,P0143,ST015,7,139.47,2026-09-01 08:26:38
O0100021,2026-09-01 17:25:58,C01070,P0073,ST007,7,211.35,2026-09-01 17:25:58
O0100022,2026-09-01 13:47:22,C01852,P0027,ST009,7,265.97,2026-09-01 13:47:22
O0100023,2026-09-01 21:00:40,C03974,P0111,ST014,8,91.75,2026-09-01 21:00:40
O0100024,2026-09-01 16:59:20,C00993,P0068,ST012,4,31.41,2026-09-01 16:59:20
O0100025,2026-09-01 15:29:33,C03849,P0129,ST004,2,76.23,2026-09-01 15:29:33
O0100026,2026-09-01 08:11:00,C00885,P0012,ST001,4,83.84,2026-09-01 08:11:00
O0100027,2026-09-01 15:10:13,C04470,P0178,ST008,5,37.27,2026-09-01 15:10:13
O0100028,2026-09-01 16:34:42,C04471,P0004,ST019,3,53.8,2026-09-01 16:34:42
O0100029,2026-09-01 17:00:14,C03619,,ST006,3,377.85,2026-09-01 17:00:14
O0100030,2026-09-01 10:08:39,C04735,P0107,ST020,6,113.79,2026-09-01 10:08:39
O0100031,2026-09-01 18:59:42,C03545,P0196,ST008,5,278.08,2026-09-01 18:59:42
O0100032,2026-09-01 19:42:03,C03128,P0031,ST002,1,486.03,2026-09-01 19:42:03
O0100033,2026-09-01 15:06:20,C00416,P0197,ST019,1,177.85,2026-09-01 15:06:20
O0100034,2026-09-01 09:36:45,C03726,P0105,ST009,7,113.55,2026-09-01 09:36:45
O0100035,2026-09-01 13:22:38,C01340,P0148,ST019,5,105.8,2026-09-01 13:22:38
